NAZWA;POW;LUD;LUD_M;PRAC;PRAC_P;BEZ;WYN;MIESZK;ENEL;DSGR;POTROZ;UZROL;LES;PROD_P;DOCH;DOCHW;;
boles³awiecki ;1303;90025;53,0;28064;7423;8886;1671,66;26361;27,2;148,0;1,95;30,6;49,5;703,2;38,8;3,2;;
dzier¿oniowski ;479;111681;81,9;30756;9621;10625;1484,93;36016;46,8;218,3;1,51;70,0;20,4;689,7;51,9;2,9;;
g³ogowski;443;91848;80,9;29928;8259;7752;1676,26;26783;38,2;95,8;1,94;61,9;19,1;248,7;55,2;4,0;;
górowski ;738;38038;41,7;11601;1926;3833;1512,87;10874;7,7;66,1;0,35;61,7;27,2;171,8;21,9;1,1;;
jaworski;581;54702;57,4;17497;3877;6254;1507,06;16024;17,0;87,6;1,79;69,9;21,1;286,4;34,4;2,5;;
jeleniogórski ;628;67030;49,6;19232;5497;5486;1575,76;21465;22,1;167,2;3,05;39,8;47,1;440,6;33,4;5,2;;
kamiennogórski;396;48858;61,1;14628;5366;5304;1497,68;15826;15,4;52,5;1,78;54,7;36,6;325,1;24,1;1,5;;
k³odzki;1643;180038;65,2;55803;11421;19121;1666,05;56542;71,8;265,5;2,82;48,5;41,9;988,5;101,9;7,3;;
legnicki;745;54206;34,1;17535;3029;6000;1492,54;15601;11,1;102,1;1,73;71,7;15,0;270,4;31,0;3,9;;
lubañski ;428;59832;56,4;17153;3919;6458;1547,21;18682;17,5;84,6;1,62;64,5;22,5;267,7;33,3;2,0;;
lubiñski ;712;110046;80,4;38133;10585;7228;2958,18;33176;41,1;302,1;3,48;57,4;29,5;3539,208647;47,5;2,9;;
lwówecki;710;51302;51,5;14134;2477;5887;1599,10;15735;14,5;41,2;1,76;56,1;33,0;173,5;35,5;2,4;;
milicki ;715;37454;33,8;12481;2804;2978;1553,64;9639;7,1;55,1;1,34;44,5;39,7;181,6;41,7;2,3;;
oleœnicki;1050;105076;61,2;31591;8046;9040;1551,90;28564;39,0;103,1;1,15;59,2;30,2;779,4;54,1;3,8;;
o³awski;524;72298;65,7;22324;5986;6108;1820,29;20588;24,0;64,4;1,97;67,5;19,4;643,4;33,1;2,4;;
polkowicki;780;62514;61,4;31976;16408;5980;1816,66;17256;19,9;149,0;4,75;52,0;33,8;5486,191353;22,9;1,4;;
strzeliñski;622;46090;33,3;14705;2632;4139;1695,04;13578;8,4;35,9;0,98;81,7;8,4;194,8;26,9;2,1;;
œredzki;704;49412;17,7;15857;3158;4146;1666,08;13448;6,1;35,6;1,61;76,8;12,1;379,7;19,2;1,1;;
œwidnicki ;743;167954;70,9;52476;17089;16125;1683,53;52396;74,7;247,1;1,99;72,9;13,3;1454,5;87,2;4,1;;
trzebnicki ;1026;76553;38,3;23304;4328;5843;1617,07;19962;18,4;104,5;1,59;62,7;24,8;373,7;36,3;2,3;;
wa³brzyski;429;62027;67,3;13547;3136;6311;1467,04;20876;28,2;103,8;1,35;50,2;40,3;188,6;17,3;1,6;;
wo³owski ;675;49742;52,3;16083;3885;4162;1662,87;14566;13,2;54,3;1,75;55,3;33,0;743,2;28,8;1,2;;
wroc³awski ;1116;94785;16,8;30601;5908;4402;1916,16;24511;9,2;143,4;2,51;75,5;10,6;487,6;30,9;2,7;;
z¹bkowicki;802;72767;45,4;24312;4416;7632;1685,43;21836;21,4;55,3;1,42;70,1;19,3;503,7;48,6;3,8;;
zgorzelecki;838;100256;70,1;35110;13752;8132;2418,32;31087;46,9;87,7;3,75;38,7;45,5;2686,8;48,8;3,8;;
z³otoryjski;575;47468;50,4;15113;3322;5610;1681,96;13868;13,4;53,8;1,62;71,4;19,3;275,4;24,7;1,1;;
Jelenia Góra ;109;92964;100,0;35701;7163;5627;1851,12;31317;59,8;182,4;4,82;39,6;31,0;708,5;202,5;79,5;;
Legnica;56;109124;100,0;40736;9386;9482;1729,55;36115;64,8;130,8;3,33;36,5;3,5;666,9;215,6;85,6;;
